ts,rate
1673856000000,0.0001000000
1673884800000,0.0001000000
1673913600000,0.0001000000
1673942400000,0.0001000000
1673971200000,0.0001000000
1674000000000,0.0001000000
1674028800000,0.0001000000
1674057600000,0.0001000000
1674086400000,0.0001000000
1674115200000,0.0001000000
1674144000000,0.0001000000
1674172800000,0.0001000000
1674201600000,0.0001000000
1674230400000,0.0001000000
1674259200000,0.0001000000
1674288000000,0.0001000000
1674316800000,0.0001000000
1674345600000,0.0001000000
1674374400000,0.0001000000
1674403200000,0.0001000000
1674432000000,0.0001000000
1674460800000,0.0001000000
1674489600000,0.0001000000
1674518400000,0.0001000000
1674547200000,0.0001000000
1674576000000,0.0001000000
1674604800000,0.0001000000
1674633600000,0.0001000000
1674662400000,0.0001000000
1674691200000,0.0001000000
1674720000000,0.0001000000
1674748800000,0.0001000000
1674777600000,0.0001000000
1674806400000,0.0001000000
1674835200000,0.0001000000
1674864000000,0.0001000000
1674892800000,0.0001000000
1674921600000,0.0001000000
1674950400000,0.0001000000
1674979200000,0.0001000000
1675008000000,0.0001000000
1675036800000,0.0001000000
1675065600000,0.0001000000
1675094400000,0.0001000000
1675123200000,0.0001000000
1675152000000,0.0001000000
1675180800000,0.0001000000
1675209600000,0.0001000000
1675238400000,0.0000883000
1675267200000,0.0001000000
1675296000000,0.0001000000
1675324800000,0.0001000000
1675353600000,0.0001000000
1675382400000,0.0001000000
1675411200000,0.0001000000
1675440000000,0.0001000000
1675468800000,0.0001000000
1675497600000,0.0001000000
1675526400000,0.0001000000
1675555200000,0.0001000000
1675584000000,0.0001000000
1675612800000,0.0001000000
1675641600000,0.0001000000
1675670400000,0.0001000000
1675699200000,0.0001000000
1675728000000,0.0001000000
1675756800000,0.0001000000
1675785600000,0.0001000000
1675814400000,0.0001000000
1675843200000,0.0001000000
1675872000000,0.0001000000
1675900800000,0.0001000000
1675929600000,0.0001000000
1675958400000,0.0001000000
1675987200000,0.0001000000
1676016000000,0.0001000000
1676044800000,0.0001000000
1676073600000,0.0001000000
1676102400000,0.0000358200
1676131200000,-0.0000808800
1676160000000,0.0000544700
1676188800000,-0.0000049000
1676217600000,-0.0000344400
1676246400000,0.0000123000
1676275200000,-0.0000080500
1676304000000,0.0001000000
1676332800000,0.0001000000
1676361600000,0.0001000000
1676390400000,-0.0000019600
1676419200000,-0.0000932900
1676448000000,-0.0001558600
1676476800000,0.0000495400
1676505600000,0.0001000000
1676534400000,0.0001000000
1676563200000,0.0001000000
1676592000000,0.0001000000
1676620800000,0.0001000000
1676649600000,0.0001000000
1676678400000,0.0001000000
1676707200000,0.0001000000
1676736000000,0.0001000000
1676764800000,0.0001000000
1676793600000,0.0001000000
1676822400000,0.0001000000
1676851200000,0.0001000000
1676880000000,0.0001000000
1676908800000,0.0001000000
1676937600000,0.0001000000
1676966400000,0.0001000000
1676995200000,0.0001000000
1677024000000,0.0001000000
1677052800000,0.0001000000
1677081600000,0.0001000000
1677110400000,0.0001000000
1677139200000,0.0001000000
1677168000000,0.0001000000
1677196800000,0.0001000000
1677225600000,0.0001000000
1677254400000,0.0001000000
1677283200000,0.0001000000
1677312000000,0.0001000000
1677340800000,0.0001000000
1677369600000,0.0001000000
1677398400000,0.0001000000
1677427200000,0.0001000000
1677456000000,0.0001000000
1677484800000,0.0001000000
1677513600000,0.0001000000
1677542400000,0.0001000000
1677571200000,0.0001000000
1677600000000,0.0001000000
1677628800000,0.0001000000
1677657600000,0.0001000000
1677686400000,0.0001000000
1677715200000,0.0001000000
1677744000000,0.0001000000
1677772800000,0.0001000000
1677801600000,0.0001000000
1677830400000,0.0001000000
1677859200000,0.0001000000
1677888000000,0.0001000000
1677916800000,0.0000411000
1677945600000,0.0001000000
1677974400000,0.0001000000
1678003200000,0.0001000000
1678032000000,0.0001000000
1678060800000,0.0001000000
1678089600000,0.0001000000
1678118400000,0.0001000000
1678147200000,0.0001000000
1678176000000,0.0001000000
1678204800000,0.0001000000
1678233600000,0.0001000000
1678262400000,0.0001000000
1678291200000,0.0001000000
1678320000000,0.0001000000
1678348800000,0.0000890700
1678377600000,0.0000423100
1678406400000,0.0001000000
1678435200000,0.0000788300
1678464000000,0.0001000000
1678492800000,0.0001000000
1678521600000,0.0001000000
1678550400000,0.0001000000
1678579200000,0.0001000000
1678608000000,0.0001000000
1678636800000,0.0001000000
1678665600000,0.0001000000
1678694400000,0.0001000000
1678723200000,0.0001000000
1678752000000,0.0001000000
1678780800000,0.0001000000
1678809600000,0.0001000000
1678838400000,0.0001000000
1678867200000,0.0001000000
1678896000000,0.0001000000
1678924800000,0.0001000000
1678953600000,0.0001000000
1678982400000,0.0001000000
