idx,timestamp,open_interest
0,1674644400000,54060.71
1,1674648000000,53646.83
2,1674651600000,53468.39
3,1674655200000,54513.67
4,1674658800000,54503.19
5,1674662400000,55201.93
6,1674666000000,54838.08
7,1674669600000,54856.07
8,1674673200000,54561.34
9,1674676800000,54473.04
10,1674680400000,54202.6
11,1674684000000,54301.4
12,1674687600000,53161.75
13,1674691200000,53502.06
14,1674694800000,53549.51
15,1674698400000,53236.4
16,1674702000000,53029.52
17,1674705600000,53059.98
18,1674709200000,53145.59
19,1674712800000,54002.92
20,1674716400000,53112.0
21,1674720000000,53341.2
22,1674723600000,53118.87
23,1674727200000,53482.91
24,1674730800000,53512.33
25,1674734400000,52684.65
26,1674738000000,52619.63
27,1674741600000,53156.79
28,1674745200000,53142.92
29,1674748800000,52837.93
30,1674752400000,54620.13
31,1674756000000,53742.8
32,1674759600000,54684.65
33,1674763200000,53102.39
34,1674766800000,53137.41
35,1674770400000,53177.17
36,1674774000000,52924.77
37,1674777600000,53182.29
38,1674781200000,52507.27
39,1674784800000,52029.89
40,1674788400000,52194.53
41,1674792000000,52269.8
42,1674795600000,52205.39
43,1674799200000,52315.9
44,1674802800000,54220.67
45,1674806400000,53479.99
46,1674810000000,53592.26
47,1674813600000,54134.0
48,1674817200000,54015.87
49,1674820800000,53731.78
50,1674824400000,53654.53
51,1674828000000,53987.6
52,1674831600000,53930.74
53,1674835200000,54432.17
54,1674838800000,54611.04
55,1674842400000,54478.82
56,1674846000000,54808.49
57,1674849600000,54768.6
58,1674853200000,55140.91
59,1674856800000,55291.79
60,1674860400000,55238.27
61,1674864000000,55546.36
62,1674867600000,55683.71
63,1674871200000,55678.84
64,1674874800000,55452.02
65,1674878400000,55492.12
66,1674882000000,55595.32
67,1674885600000,55747.45
68,1674889200000,55639.08
69,1674892800000,55149.69
70,1674896400000,55119.83
71,1674900000000,55472.25
72,1674903600000,55610.0
73,1674907200000,55650.56
74,1674910800000,56285.31
75,1674914400000,56518.11
76,1674918000000,56788.25
77,1674921600000,56015.82
78,1674925200000,56326.36
79,1674928800000,55745.83
80,1674932400000,55945.1
81,1674936000000,55755.91
82,1674939600000,55476.91
83,1674943200000,55276.97
84,1674946800000,54951.74
85,1674950400000,54374.67
86,1674954000000,53833.97
87,1674957600000,53872.17
88,1674961200000,54123.8
89,1674964800000,54307.33
90,1674968400000,54872.99
91,1674972000000,55010.31
92,1674975600000,54871.78
93,1674979200000,54297.67
94,1674982800000,54220.37
95,1674986400000,54652.58
96,1674990000000,54864.94
97,1674993600000,55332.49
98,1674997200000,55019.12
99,1675000800000,55338.97
100,1675004400000,55290.77
101,1675008000000,55476.93
102,1675011600000,55484.85
103,1675015200000,56164.56
104,1675018800000,56031.28
105,1675022400000,55698.71
106,1675026000000,56170.29
107,1675029600000,55649.95
108,1675033200000,55308.19
109,1675036800000,55123.9
110,1675040400000,55023.46
111,1675044000000,54622.51
112,1675047600000,54179.28
113,1675051200000,54418.52
114,1675054800000,54410.83
115,1675058400000,54437.76
116,1675062000000,55362.05
117,1675065600000,55790.35
118,1675069200000,55634.64
119,1675072800000,55079.38
120,1675076400000,54486.31
121,1675080000000,55316.82
122,1675083600000,54909.67
123,1675087200000,54840.72
124,1675090800000,54836.86
125,1675094400000,54398.66
126,1675098000000,54446.61
127,1675101600000,54884.85
128,1675105200000,54784.59
129,1675108800000,53745.0
130,1675112400000,54197.88
131,1675116000000,54066.51
132,1675119600000,53618.95
133,1675123200000,53835.22
134,1675126800000,54134.59
135,1675130400000,54057.35
136,1675134000000,54094.49
137,1675137600000,54740.51
138,1675141200000,54885.89
139,1675144800000,55066.48
140,1675148400000,55581.16
141,1675152000000,55766.21
142,1675155600000,55538.73
143,1675159200000,55631.43
144,1675162800000,55309.52
145,1675166400000,55249.41
146,1675170000000,55773.26
147,1675173600000,55636.32
148,1675177200000,56410.5
149,1675180800000,57029.32
150,1675184400000,56464.6
151,1675188000000,56701.42
152,1675191600000,56652.29
153,1675195200000,56482.55
154,1675198800000,56165.11
155,1675202400000,55581.97
156,1675206000000,55563.44
