idx,timestamp,open_interest
0,1674644400000,62991.69
1,1674648000000,64095.75
2,1674651600000,64132.39
3,1674655200000,62652.24
4,1674658800000,60348.23
5,1674662400000,60977.06
6,1674666000000,62286.87
7,1674669600000,65099.96
8,1674673200000,66414.83
9,1674676800000,65467.09
10,1674680400000,61026.22
11,1674684000000,61214.02
12,1674687600000,61768.69
13,1674691200000,59287.56
14,1674694800000,58529.57
15,1674698400000,58688.93
16,1674702000000,58363.99
17,1674705600000,58329.18
18,1674709200000,57759.68
19,1674712800000,57750.33
20,1674716400000,57292.06
21,1674720000000,57346.9
22,1674723600000,57750.81
23,1674727200000,59405.19
24,1674730800000,58690.35
25,1674734400000,63707.32
26,1674738000000,64205.72
27,1674741600000,64247.13
28,1674745200000,64743.29
29,1674748800000,64840.47
30,1674752400000,63994.11
31,1674756000000,64688.16
32,1674759600000,64837.23
33,1674763200000,67407.02
34,1674766800000,72075.24
35,1674770400000,72887.39
36,1674774000000,70405.00999999
37,1674777600000,67588.39
38,1674781200000,67262.00999999
39,1674784800000,62058.74
40,1674788400000,61714.96
41,1674792000000,62366.33
42,1674795600000,62300.77
43,1674799200000,62291.15
44,1674802800000,62179.83
45,1674806400000,62844.55
46,1674810000000,62897.58
47,1674813600000,61879.6
48,1674817200000,62119.69
49,1674820800000,62055.56
50,1674824400000,61690.88
51,1674828000000,64599.22
52,1674831600000,64747.81
53,1674835200000,63517.97
54,1674838800000,63554.95
55,1674842400000,64888.01
56,1674846000000,63104.64
57,1674849600000,62991.05
58,1674853200000,64410.86
59,1674856800000,64861.38
60,1674860400000,62488.39
61,1674864000000,62422.4
62,1674867600000,62536.67
63,1674871200000,62619.09
64,1674874800000,64340.06
65,1674878400000,64092.72
66,1674882000000,65306.01
67,1674885600000,67315.77
68,1674889200000,68686.17
69,1674892800000,68533.85
70,1674896400000,68632.81
71,1674900000000,70156.78
72,1674903600000,68702.35
73,1674907200000,68802.95
74,1674910800000,62085.93
75,1674914400000,66957.13
76,1674918000000,68251.53
77,1674921600000,68056.03999999
78,1674925200000,68672.75
79,1674928800000,65084.08
80,1674932400000,65894.27
81,1674936000000,67247.00999999
82,1674939600000,66948.50999999
83,1674943200000,67095.14999999
84,1674946800000,66812.52
85,1674950400000,67158.44
86,1674954000000,65821.27
87,1674957600000,64619.88
88,1674961200000,61653.15
89,1674964800000,60781.31
90,1674968400000,60486.17
91,1674972000000,61547.8
92,1674975600000,61082.14
93,1674979200000,61367.17
94,1674982800000,61571.86
95,1674986400000,61034.78
96,1674990000000,61310.89
97,1674993600000,59211.32
98,1674997200000,59135.46
99,1675000800000,61596.06
100,1675004400000,61266.84
101,1675008000000,62234.2
102,1675011600000,63265.21
103,1675015200000,63860.61
104,1675018800000,62999.09
105,1675022400000,63241.37
106,1675026000000,65702.17999999
107,1675029600000,64301.16
108,1675033200000,63183.64
109,1675036800000,62079.6
110,1675040400000,61099.9
111,1675044000000,59125.07
112,1675047600000,59288.0
113,1675051200000,59791.55
114,1675054800000,59686.65
115,1675058400000,59256.24
116,1675062000000,59070.05
117,1675065600000,59283.72
118,1675069200000,59294.2
119,1675072800000,58402.78
120,1675076400000,57688.93
121,1675080000000,56886.16
122,1675083600000,56096.35
123,1675087200000,56459.42
124,1675090800000,56185.93
125,1675094400000,55517.19
126,1675098000000,56120.41
127,1675101600000,55910.57
128,1675105200000,56303.3
129,1675108800000,59281.52
130,1675112400000,58902.61
131,1675116000000,58032.17
132,1675119600000,57866.89
133,1675123200000,57961.69
134,1675126800000,57702.96
135,1675130400000,58579.67
136,1675134000000,58326.08
137,1675137600000,57594.44
138,1675141200000,57869.68
139,1675144800000,57542.66
140,1675148400000,57131.49
141,1675152000000,57577.84
142,1675155600000,56957.7
143,1675159200000,57903.89
144,1675162800000,58087.1
145,1675166400000,58639.86
146,1675170000000,58133.75
147,1675173600000,59383.71
148,1675177200000,57775.84
149,1675180800000,57816.13
150,1675184400000,58358.91
151,1675188000000,57857.42
152,1675191600000,58319.49
153,1675195200000,58135.62
154,1675198800000,59180.25
155,1675202400000,56357.23
156,1675206000000,55797.02
157,1675209600000,55529.23
158,1675213200000,54910.92
159,1675216800000,54250.62
160,1675220400000,53856.28
161,1675224000000,54127.58
162,1675227600000,53753.47
163,1675231200000,53988.12
164,1675234800000,52582.37
165,1675238400000,53794.39
166,1675242000000,53722.31
167,1675245600000,54340.01
168,1675249200000,54321.98
169,1675252800000,54377.15
170,1675256400000,53679.67
171,1675260000000,52716.69
172,1675263600000,52582.87
173,1675267200000,53680.75
174,1675270800000,55208.64
175,1675274400000,54629.31
176,1675278000000,54432.78
177,1675281600000,53752.75
178,1675285200000,53614.94
179,1675288800000,53079.65
180,1675292400000,52637.73
181,1675296000000,52698.4
182,1675299600000,64995.21
183,1675303200000,64551.08
184,1675306800000,64725.05
185,1675310400000,67660.1
186,1675314000000,69329.58
187,1675317600000,67233.58
188,1675321200000,65512.16
189,1675324800000,65166.17
190,1675328400000,69107.08
191,1675332000000,70536.14
192,1675335600000,71343.3
193,1675339200000,70241.73
194,1675342800000,71722.24
195,1675346400000,73865.78
196,1675350000000,74263.49
197,1675353600000,76266.78999999
198,1675357200000,76331.7
199,1675360800000,76161.71
200,1675364400000,76392.03999999
201,1675368000000,73087.75999999
202,1675371600000,70489.23
203,1675375200000,68383.53999999
204,1675378800000,66793.69
205,1675382400000,67831.07
206,1675386000000,69261.22
207,1675389600000,69127.64999999
208,1675393200000,68899.8
209,1675396800000,69036.61
210,1675400400000,69545.97
211,1675404000000,69880.42999999
212,1675407600000,68962.25
213,1675411200000,70328.41
214,1675414800000,71838.42
215,1675418400000,71935.44
216,1675422000000,71592.17999999
217,1675425600000,72483.33
218,1675429200000,73077.84
219,1675432800000,72378.63
220,1675436400000,77363.35
221,1675440000000,79266.33
222,1675443600000,81184.81
223,1675447200000,95707.65
224,1675450800000,82982.53999999
225,1675454400000,81423.46
226,1675458000000,81880.00999999
227,1675461600000,81307.98
228,1675465200000,82580.89999999
229,1675468800000,81634.8
230,1675472400000,85074.41
231,1675476000000,84282.75999999
232,1675479600000,82548.1
233,1675483200000,82235.85
234,1675486800000,84857.08
235,1675490400000,83267.44
236,1675494000000,82068.91
237,1675497600000,80595.78999999
238,1675501200000,79764.99
239,1675504800000,79979.02
240,1675508400000,79805.07
241,1675512000000,79638.87
242,1675515600000,79450.67999999
243,1675519200000,80328.71
244,1675522800000,80204.64
245,1675526400000,80381.02
246,1675530000000,79566.53999999
247,1675533600000,79714.91
248,1675537200000,79310.96
249,1675540800000,79724.89
250,1675544400000,79291.98
251,1675548000000,79179.21
252,1675551600000,79253.23
253,1675555200000,74719.61
254,1675558800000,74461.97
255,1675562400000,73780.06
256,1675566000000,74386.67
257,1675569600000,74971.49
258,1675573200000,74967.02
259,1675576800000,75022.72
260,1675580400000,75239.57
261,1675584000000,75892.7
262,1675587600000,74829.89
263,1675591200000,74870.89
264,1675594800000,74810.69
265,1675598400000,75577.42
266,1675602000000,69106.00999999
267,1675605600000,68966.13
268,1675609200000,71698.78
269,1675612800000,71591.21
270,1675616400000,72025.75999999
271,1675620000000,66296.45
