idx,timestamp,open_interest
0,1674644400000,115140.64
1,1674648000000,115208.81
2,1674651600000,114702.94
3,1674655200000,115421.24
4,1674658800000,121980.55
5,1674662400000,122931.37
6,1674666000000,122715.57
7,1674669600000,122885.17
8,1674673200000,123384.15
9,1674676800000,126154.04
10,1674680400000,124739.0
11,1674684000000,120645.91
12,1674687600000,115743.07
13,1674691200000,114548.84
14,1674694800000,114531.13
15,1674698400000,116359.33
16,1674702000000,117229.87
17,1674705600000,117354.97
18,1674709200000,113352.98
19,1674712800000,112831.89
20,1674716400000,109271.62
21,1674720000000,109604.82
22,1674723600000,110602.38
23,1674727200000,113694.45
24,1674730800000,112780.36
25,1674734400000,111852.19
26,1674738000000,110409.64
27,1674741600000,109727.44
28,1674745200000,108418.1
29,1674748800000,107430.35
30,1674752400000,106646.48
31,1674756000000,106418.89
32,1674759600000,106492.03
33,1674763200000,116945.64
34,1674766800000,116244.96
35,1674770400000,112609.38
36,1674774000000,112672.03
37,1674777600000,112665.09
38,1674781200000,114771.9
39,1674784800000,114994.91
40,1674788400000,114924.69
41,1674792000000,114828.69
42,1674795600000,114059.02
43,1674799200000,111095.05
44,1674802800000,110468.86
45,1674806400000,109020.42
46,1674810000000,110593.41
47,1674813600000,112371.84
48,1674817200000,112744.17
49,1674820800000,112386.62
50,1674824400000,112241.71
51,1674828000000,110604.68
52,1674831600000,112432.3
53,1674835200000,112364.75
54,1674838800000,113229.37
55,1674842400000,111930.83
56,1674846000000,109737.08
57,1674849600000,109003.35
58,1674853200000,107271.93
59,1674856800000,106968.18
60,1674860400000,106489.11
61,1674864000000,106601.65
62,1674867600000,105827.55
63,1674871200000,105496.61
64,1674874800000,105389.97
65,1674878400000,105216.4
66,1674882000000,105447.22
67,1674885600000,105830.79
68,1674889200000,103905.36
69,1674892800000,104241.0
70,1674896400000,104906.55
71,1674900000000,105245.86
72,1674903600000,105493.49
73,1674907200000,105649.15
74,1674910800000,106675.04
75,1674914400000,103900.3
76,1674918000000,103390.87
77,1674921600000,103657.04
78,1674925200000,103509.12
79,1674928800000,104889.43
