idx,timestamp,open_interest
0,1733403600000,39529.08
1,1733407200000,258837.73
2,1733410800000,210782.44
3,1733414400000,206001.28
4,1733418000000,217017.55
5,1733421600000,225685.76
6,1733425200000,224599.2
7,1733428800000,235337.87
8,1733432400000,264046.38
9,1733436000000,270834.44
10,1733439600000,275688.24
11,1733443200000,275615.86
12,1733446800000,277925.56
13,1733450400000,287515.88
14,1733454000000,285494.88
15,1733457600000,278132.46
16,1733461200000,281283.36
17,1733464800000,289290.03999999
18,1733468400000,291321.44
19,1733472000000,295544.78
20,1733475600000,295952.4
21,1733479200000,281740.0
22,1733482800000,279850.82
23,1733486400000,296045.57
24,1733490000000,293540.68
25,1733493600000,292768.4
26,1733497200000,293054.52
27,1733500800000,295786.77
28,1733504400000,304750.17
29,1733508000000,308861.76
30,1733511600000,317557.51
31,1733515200000,319841.64
32,1733518800000,329371.46
33,1733522400000,332063.56
34,1733526000000,331391.42
35,1733529600000,338584.18
36,1733533200000,341291.06
37,1733536800000,342975.52
38,1733540400000,344073.64
39,1733544000000,353645.42
40,1733547600000,355217.94
41,1733551200000,374573.65
42,1733554800000,381672.3
43,1733558400000,389165.34
44,1733562000000,389955.3
45,1733565600000,398975.72
46,1733569200000,398448.36
47,1733572800000,405622.44
48,1733576400000,414585.9
49,1733580000000,421958.66
50,1733583600000,428611.22
51,1733587200000,428337.97
52,1733590800000,429576.96
53,1733594400000,429454.14
54,1733598000000,428605.46
55,1733601600000,432026.68
56,1733605200000,441964.76
57,1733608800000,442247.78
58,1733612400000,443932.96
59,1733616000000,446257.1
60,1733619600000,447970.27
61,1733623200000,450116.94
62,1733626800000,452932.76
63,1733630400000,455218.31
64,1733634000000,454707.14
65,1733637600000,455317.91
66,1733641200000,453995.72
67,1733644800000,455210.71
68,1733648400000,456937.45
69,1733652000000,468251.26
70,1733655600000,468359.88
71,1733659200000,467800.06
72,1733662800000,462510.93
73,1733666400000,464916.3
74,1733670000000,462648.6
75,1733673600000,458216.44
76,1733677200000,458485.78
77,1733680800000,457118.5
78,1733684400000,455544.62
79,1733688000000,454261.25
80,1733691600000,453709.84
81,1733695200000,455571.92
82,1733698800000,458143.98
83,1733702400000,460167.06
84,1733706000000,459550.74
85,1733709600000,460460.68
86,1733713200000,457976.72
87,1733716800000,455625.62
88,1733720400000,462434.98
89,1733724000000,467243.82
90,1733727600000,491653.93
91,1733731200000,514103.86
92,1733734800000,524444.73
93,1733738400000,533712.35
94,1733742000000,538372.28
95,1733745600000,538682.54
96,1733749200000,534237.68
97,1733752800000,537369.8
98,1733756400000,546563.24
99,1733760000000,553113.5
100,1733763600000,554676.07999999
101,1733767200000,553333.4
102,1733770800000,560095.26
103,1733774400000,556726.86
104,1733778000000,561105.04
105,1733781600000,546933.51
106,1733785200000,550555.26
107,1733788800000,542346.62
108,1733792400000,540022.46
109,1733796000000,542626.93999999
110,1733799600000,539864.84
111,1733803200000,539250.5
112,1733806800000,537589.57999999
113,1733810400000,538288.64
114,1733814000000,539675.34
115,1733817600000,543523.8
116,1733821200000,542573.26
117,1733824800000,545582.86
118,1733828400000,552440.07999999
119,1733832000000,554289.51
120,1733835600000,549404.72
121,1733839200000,550561.06
122,1733842800000,557343.3
123,1733846400000,550275.34
124,1733850000000,547218.38
125,1733853600000,539396.72
126,1733857200000,541947.31999999
127,1733860800000,541874.69999999
128,1733864400000,539113.8
129,1733868000000,542170.46
130,1733871600000,539386.9
