idx,timestamp,open_interest
0,1674644400000,48144085.0
1,1674648000000,48931297.0
2,1674651600000,48547927.0
3,1674655200000,48590102.0
4,1674658800000,48145105.0
5,1674662400000,47885034.0
6,1674666000000,47866530.0
7,1674669600000,47921845.0
8,1674673200000,47931606.0
9,1674676800000,48626519.0
10,1674680400000,48426743.0
11,1674684000000,46832666.0
12,1674687600000,45595319.0
13,1674691200000,45444642.0
14,1674694800000,45575886.0
15,1674698400000,45684001.0
16,1674702000000,45722343.0
17,1674705600000,45843944.0
18,1674709200000,45862195.0
19,1674712800000,46052474.0
20,1674716400000,46201665.0
21,1674720000000,46215908.0
22,1674723600000,46392406.0
23,1674727200000,47993005.0
24,1674730800000,48252923.0
25,1674734400000,48425761.0
26,1674738000000,48127018.0
27,1674741600000,47367226.0
28,1674745200000,47657331.0
29,1674748800000,47807413.0
30,1674752400000,46795477.0
31,1674756000000,47401669.0
32,1674759600000,48377801.0
33,1674763200000,48327346.0
34,1674766800000,48433819.0
35,1674770400000,48326564.0
36,1674774000000,48359340.0
37,1674777600000,48650137.0
38,1674781200000,48884118.0
39,1674784800000,48938900.0
40,1674788400000,48961378.0
41,1674792000000,48976580.0
42,1674795600000,49068529.0
43,1674799200000,49049666.0
44,1674802800000,49117115.0
45,1674806400000,49016697.0
46,1674810000000,48929500.0
47,1674813600000,48992756.0
48,1674817200000,49077377.0
49,1674820800000,49104548.0
50,1674824400000,48988371.0
51,1674828000000,49011190.0
52,1674831600000,49280505.0
53,1674835200000,49391333.0
54,1674838800000,48976204.0
55,1674842400000,48109209.0
56,1674846000000,48599845.0
57,1674849600000,48562049.0
58,1674853200000,48673113.0
59,1674856800000,48956250.0
60,1674860400000,48837243.0
61,1674864000000,49048463.0
62,1674867600000,49064062.0
63,1674871200000,49015503.0
64,1674874800000,48960599.0
65,1674878400000,48896053.0
66,1674882000000,48582559.0
67,1674885600000,48550236.0
68,1674889200000,48726479.0
69,1674892800000,48698021.0
70,1674896400000,48730611.0
71,1674900000000,49110963.0
72,1674903600000,48973851.0
73,1674907200000,49046177.0
74,1674910800000,49045726.0
75,1674914400000,48988207.0
76,1674918000000,49701596.0
77,1674921600000,49305594.0
78,1674925200000,49274709.0
79,1674928800000,49358321.0
80,1674932400000,49468520.0
81,1674936000000,49265231.0
82,1674939600000,48842774.0
83,1674943200000,48759411.0
84,1674946800000,48580022.0
85,1674950400000,48626728.0
86,1674954000000,48704887.0
87,1674957600000,48580730.0
88,1674961200000,48531552.0
89,1674964800000,48615223.0
90,1674968400000,48499179.0
91,1674972000000,48418294.0
92,1674975600000,48468006.0
93,1674979200000,48404203.0
94,1674982800000,48498687.0
95,1674986400000,48576336.0
96,1674990000000,49210742.0
97,1674993600000,48923195.0
98,1674997200000,48781983.0
99,1675000800000,49183697.0
100,1675004400000,49249558.0
101,1675008000000,48655683.0
102,1675011600000,48667306.0
103,1675015200000,48525354.0
104,1675018800000,48619694.0
105,1675022400000,49423058.0
106,1675026000000,49652782.0
107,1675029600000,49720460.0
108,1675033200000,51495691.0
109,1675036800000,52635795.0
110,1675040400000,52525222.0
111,1675044000000,52271865.0
112,1675047600000,51821476.0
113,1675051200000,51283046.0
114,1675054800000,50892121.0
115,1675058400000,50836928.0
116,1675062000000,50770219.0
117,1675065600000,50749723.0
118,1675069200000,51078226.0
119,1675072800000,51376203.0
120,1675076400000,51875969.0
121,1675080000000,52146075.0
122,1675083600000,52250636.0
123,1675087200000,52361761.0
124,1675090800000,52226087.0
125,1675094400000,52446801.0
126,1675098000000,52324169.0
127,1675101600000,52295594.0
128,1675105200000,52348275.0
129,1675108800000,50765714.0
130,1675112400000,50616893.0
131,1675116000000,50618181.0
132,1675119600000,50832726.0
133,1675123200000,50949140.0
134,1675126800000,50546660.0
135,1675130400000,50332498.0
136,1675134000000,50694091.0
137,1675137600000,50677212.0
138,1675141200000,50473809.0
139,1675144800000,50463315.0
140,1675148400000,50914968.0
141,1675152000000,51146551.0
142,1675155600000,50831737.0
143,1675159200000,50835245.0
144,1675162800000,51022250.0
145,1675166400000,50602853.0
146,1675170000000,50925852.0
147,1675173600000,51065450.0
148,1675177200000,51965428.0
