idx,timestamp,open_interest
0,1674644400000,2993436.8
1,1674648000000,3030989.5
2,1674651600000,3038926.2
3,1674655200000,3068803.4
4,1674658800000,3000304.6
5,1674662400000,3007117.2
6,1674666000000,3040837.0
7,1674669600000,3036947.9
8,1674673200000,3043804.6
9,1674676800000,3083522.4
10,1674680400000,3077832.2
11,1674684000000,3026662.6
12,1674687600000,2945415.5
13,1674691200000,2944788.5
14,1674694800000,2956782.2
15,1674698400000,2986793.3
16,1674702000000,2968848.7
17,1674705600000,2954837.8
18,1674709200000,2998846.5
19,1674712800000,3032029.1
20,1674716400000,3068689.6
21,1674720000000,3009716.6
22,1674723600000,3014860.4
23,1674727200000,3007932.0
24,1674730800000,3068928.8
25,1674734400000,3072943.0
26,1674738000000,3043475.7
27,1674741600000,3012589.6
28,1674745200000,2928474.9
29,1674748800000,2897182.3
30,1674752400000,2965547.5
31,1674756000000,2956227.6
32,1674759600000,2944381.8
33,1674763200000,2972062.3
34,1674766800000,3129470.4
35,1674770400000,3167739.5
36,1674774000000,3184154.3
37,1674777600000,3197628.8
38,1674781200000,2980854.5
39,1674784800000,3065708.0
40,1674788400000,3049369.6
41,1674792000000,3012332.7
42,1674795600000,2990696.1
43,1674799200000,3007550.5
44,1674802800000,3099488.0
45,1674806400000,3119764.4
46,1674810000000,3228977.3
47,1674813600000,3223573.9
48,1674817200000,3219640.7
49,1674820800000,3231143.2
50,1674824400000,3267484.4
51,1674828000000,3124575.4
52,1674831600000,3050568.1
53,1674835200000,3038862.6
54,1674838800000,3120395.7
55,1674842400000,3074881.7
56,1674846000000,3197337.9
57,1674849600000,3220087.9
58,1674853200000,3203596.5
59,1674856800000,3137107.1
60,1674860400000,3022118.4
61,1674864000000,3010513.4
62,1674867600000,3011200.3
63,1674871200000,3051146.4
64,1674874800000,3003600.3
65,1674878400000,3010257.1
66,1674882000000,3015859.9
67,1674885600000,3010183.5
68,1674889200000,3007582.3
69,1674892800000,2937285.2
70,1674896400000,2924231.6
71,1674900000000,2959087.5
72,1674903600000,3019625.0
73,1674907200000,3048551.3
74,1674910800000,3035588.2
75,1674914400000,3004001.0
76,1674918000000,3165015.9
77,1674921600000,3103678.2
78,1674925200000,3109755.6
79,1674928800000,3113767.0
80,1674932400000,3139632.7
81,1674936000000,3124812.4
82,1674939600000,3091283.9
83,1674943200000,3069905.0
84,1674946800000,3071170.2
85,1674950400000,3089053.8
86,1674954000000,3036257.2
87,1674957600000,3045488.9
88,1674961200000,3052477.1
89,1674964800000,2981863.6
90,1674968400000,2999359.3
91,1674972000000,3021561.8
92,1674975600000,3021953.7
93,1674979200000,2985881.8
94,1674982800000,2993507.9
95,1674986400000,3044312.2
96,1674990000000,3060837.0
97,1674993600000,3123014.7
98,1674997200000,3062240.7
